hit is	it is
understenst Þu	thou wilt understand
UnderstandaÞ nu	understand now
understandaÞ hu be hire awriten is	understand how it is written
Hé flyhÞ	he flees
Ne flyhÞ he na mid lichaman	he flees not with body
Ic wearð asend	I was sent
munuc and mæssepreost	monk and mass-priest
swa þeah waccre þonne swilcum hadum gebyrige	although more weakly than for such orders is fitting
on Æþelredes dæge cyninges	in king Æthelred's day
fram Ælfeage biscope	from bishop Ælfeah
Aðelwoldes æftergengan	Æthelwold's successor
to sumum mynstre þe is Cernel gehaten	to a minster which is called Cernel
þurh Æðelmæres bene ðæs þegenes	at the prayer of Æthelmær the thane
his gebyrd and goodnys sind gehwær cuþe	whose birth and goodness are known everywhere
Þa bearn me on mode	Then it occurred to my mind
ic truwige þurh Godes gife	I trust through God's grace
ic ðas boc of Ledenum gereorde to Engliscre spræce awende	I would turn this book from the Latin language into the English tongue
na þurh gebylde mycelre lare	not from confidence of great learning
ac forþan þe ic geseah and gehyrde mycel gedwyld on manegum Engliscum bocum	but because I have seen and heard of much error in many English books
þe ungelærede menn to micclum wisdome tealdon	which unlearned men have esteemed as great wisdom
þurh heora bilewitnysse	through their simplicity
hí ne cuþon	they knew not
hí ne næfdon	they had not
þa godspellican lare	the evangelical doctrines
on heora gewritum	among their writings
buton þam mannum anum ðe þæt Leden cuðon	those men only excepted who knew Latin
buton þam bocum ðe Ælfred cyning snoterlice awende of Ledene on Englisc	those books excepted which king Ælfred wisely turned from Latin into English
þa synd to hæbbene	which are to be had
For þisum antimbre ic gedyrstlæhte, on Gode truwiende, þæt ic ðas gesetnysse undergann	For this cause I presumed, trusting in God, to undertake this task
Ðonne beoð swilce gedreccednyssa swilce næron næfre ær fram frymðe middangeardes.	Then shall be such tribulations as have never been from the beginning of the world.
Manega lease Cristas cumað on minum naman	Many false Christs shall come in my name
me ofhreow	I regretted
Ic eom Crist	I am Christ
gif hit gewurþan mæg	if it may be
to bepæcenne mancynn	to deceive mankind
butan se Ælmihtiga God ða dagas gescyrte, eall mennisc forwurde	unless Almighty God shorten those days, all mankind will perish
ac for his gecorenum he gescyrte þa dagas	but for his elect he will shorten those days
Gehwá mæg þe eaðelicor ða toweardan costnunge acuman, ðurh Godes fultum, gif hé bið þurh boclice lare getrymmed	Everyone may the more easily withstand the future temptation, through God's support, if he is strengthened by book learning
forðan ðe þa beoð gehealdene þe oð ende on geleafan þurhwuniað	for they shall be preserved who continue in faith to the end
Fela gedreccednyssa and earfoðnysse becumað on þissere worulde ǽr hire geendunge	Many tribulations and hardships shall come on this world before its end
þa synd ða bydelas þæs ecan forwyrdes on yfelum mannum	those are the proclaimers of everlasting perdition to evil men
þe for heora mándædum siððan ecelice þrowiað on ðære sweartan helle	who afterwards for their crimes suffer eternally in the black hell
Þonne cymð se Antecrist	Then Antichrist shall come
se bið mennisc mann and soð deofol	who is human man and true devil
swa swa ure Hælend is soðlice mann and God on anum hade	as our Saviour is truly man and God in one person
And se gesewenlica deofol þonne wyrcð ungerima wundra	And the visible devil shall then work innumerable miracles
and cwyð þæt he sylf God beo	and say that he himself is God
and wile neadian mancynn to his gedwylde	and will compel mankind to his heresy
ac his tima ne bið na langsum	but his time will not be long
forþan þe Godes grama hine fordeð	for God's anger will destroy him
þeos weoruld bið siððan geendod	this world will afterwards be ended
Crist ure Drihten gehælde untrume and adlige	Christ our Lord healed the weak and diseased
and þes deofolis gehaten Antecrist	the devil is called Antichrist
þæt is gereht	which is interpreted
ðwyrlic Crist	Opposition Christ
aleuað and geuntrumað ða halan	weakens and enfeebles the hale
and nænne ne gehælð fram untrumnyssum	and heals no one from diseases
buton þam anum þe he sylf ær awyrde	save those alone whom he himself had previously injured
He and his gingran awyrdað manna lichaman digellice þurh deofles cræft	He and his disciples injure men's bodies secretly through the devil's power
and gehælað hí openlice on manna gesihþe	and heal them openly in the sight of men
hé ne mæg nænne gehælan þe God sylf ær geuntrumode	he may not heal those whom God himself had before afflicted
He neadað þurh yfelnysse þæt men sceolon bugan fram heora Scyppendes geleafan to his leasungum	He compels, through wickedness, men to swerve from the faith of their Creator to his lies
seðe is ord ælcere leasunge and yfelnysse	who is the author of all lies and wickedness
Se Ælmihtiga God geðafað þam arleasan Antecriste to wyrcenne tácna, and wundra, and ehtnysse, to feorþan healfan geare	Almighty God permits the impious Antichrist to work signs, and miracles, and persecution, for three and a half years
forþan ðe on ðam	for in that time
timan bið swa micel yfelnyss and þwyrnys betwux mancynne	there will be so much wickedness and perversity among mankind
hí wel wyrðe beoð þære deoflican ehtnysse	they will be well worthy of devilish persecution
to ecum forwyrde þam ðe him onbugað	to the eternal perdition of those who incline unto him
to ecere myrhðe ðam þe him þurh geleafan wiðcweðað.	to the eternal joy of those who by faith resist him
God geðafað eac þæt his gecorenan þegenas beon aclænsade fram eallum synnum þurh ða ormætan ehtnyssa	God also permits that his chosen servants be cleansed from all sins through great persecutions
swa swa gold bið on fyre afandod	as gold is tried in fire
Þa ofslihð se deofol ðe him wiðstandað	The devil slays those who withstand him
and hí þonne farað mid halgum martyrdome to heofenan rice	and then, with holy martyrdom, they go to the kingdom of heaven
Þa ðe his leasungum gelyfað, þam hé arað	Those who believe in his lies, those he honours
hí habbað syððan þa ecan susle to edleane heora gedwyldes	they shall have afterwards eternal torment for reward of their sin
Se arleasa deð þæt fyr cymð 	The impious one will cause fire to come
ðe ah geweald heofenas and eorþan	who rules over heaven and earth
swilce hé God Ælmihtig sy	as if he were God Almighty
Ac þa cristenan sceolon beon þonne gemyndige hu se deofol dyde þa ða he bæd æt Gode þæt he moste fandian Iobes	but Christians must then be mindful how the devil did, when he prayed to God that he might tempt Job
He gemacode ða þæt fyr come ufan swilce of heofenum	he made fire to come from above, as if from heaven
and forbærnde ealle his scep út on felda	and burned all his sheep out in the field
and þa hyrdas samod	and the shepherds also
buton anum þe hit him cyðan sceolde	save one who should announce it to him
Ne sende se deofol ða fyr of heofenum	The devil sent not fire from heaven
þeah ðe hit ufan come	though it came from above
forðan þe he sylf næs on heofonum	for he himself was not in heaven
syððan he for his modignysse ofaworpen wæs	after that he, for his pride, had been cast out
Ne eac se wælhreowa Antecrist næfð þa mihte þæt he heofenlic fyr asendan mæge	Nor also hath the cruel Antichrist the power to send down heavenly fire
ðeah þe hé þurh deofles cræft hit swa gehiwige	though he, through the devil's craft may so pretend
Bið nu wíslicor þæt gehwa ðis wite and cunne his geleafan	It will now be wiser that everyone know this, and know his belief
weald hwa ða micclan yrmðe gebidan sceole	lest anyone have to await great misery
Ure Drihten bebead his discipulum	Our Lord commanded his disciples
hí sceoldon læran and tæcan eallum þeodum ða ðing þe he sylf him tæhte	they should instruct and teach all people the things which he had himself taught to them
ac þæra is nu to lyt ðe wile wel tæcan and wel bysnian	but of those there are too few who will well teach and well exemplify
Se ylca Drihten clypode þurh his witegan Ezechiel	The Lord also cried, through his prophet Ezekiel
Gif þu ne gestentst þone unrihtwisan	If thou warnest not the unrighteous
ne gestentst þone unrihtwisan	warnest not the unrighteous
hine ne manast	exhortest him not
þæt hé fram his arleasnysse gecyrre and lybbe	so that he turn from his wickedness and live
þonne swelt se arleasa on his unrihtwisnysse	then shall the wicked die in his iniquity
ic wille ofgan æt ðe his blod	I will require from thee his blood
þæt is his lyre	that is, his perdition
se arleasa swylt on his unrihtwisnysse	the wicked shall die in his unrighteousness
gif hé on Godes dome unscyldig beon wile	if he will be guiltless at God's doom
Paulus se apostol cwæð	Paul the apostle said
We sind Godes gefylstan	We are God's assistants
Gif ðu ðonne þone arleasan gewarnast	if thou warnest the wicked
he nele fram his arleasnysse gecyrran	he will not turn from his wickedness
þu alysdest þine sawle mid þære mynegunge	thou shalt release thy soul with that admonition
Eft cwæð se Ælmihtiga to þam witegan Isaiam	Again the Almighty spake to the prophet Isaiah
Clypa and ne geswic ðu	Cry and cease thou not
ahefe þine stemne swa swa byme	raise thy voice as a trumpet
cyð minum folce heora leahtras	declare to my people their crimes
Iacobes hirede	to the family of Jacob
heora synna	their sins
For swylcum bebodum	From such commands
wearð me geðuht	it appeared to me
ic nære unscyldig wið God	I should not be guiltless before God
ic nolde oðrum mannum cyðan	I would not declare to other men
gif oððe þurh tungan oððe þurh gewritu	if by tongue or by writings
þa godspellican soþfæstnysse þe he sylf gecwæð	the evangelical truth, which he himself spoke
eft halgum lareowum onwreah	afterwards to holy teachers revealed
For wel fela ic wat on þisum earde gelæredran þonne ic sy	Very many I know in this country more learned than I am
God geswutelað his wundra þurh ðone þe he wile	God manifests his wonders through whom he will
Swa swa ælmihtig wyrhta	As an almighty worker
he wyrcð his weorc þurh his gecorenan	he works his work through his chosen
na swylce he behofige ures fultumes	not because he has need of our aid
we geearnion þæt ece lif þurh his weorces fremminge	we may earn eternal life by the performance of his work
and swa ðeah ne do we nan þing to Gode	and yet we do nothing for God
buton Godes fultume	without the assistance of God
Nu bidde ic and halsige	Now I desire and beseech
on Godes naman	in God's name
gif hwa þas boc awritan wylle	if anyone will transcribe this book
þæt he hí geornlice gerihte be þære bysene	that he carefully correct it by the copy
þylæs þe we þurh gymelease writeras geleahtrode beon	lest we be blamed through careless writers
Mycel yfel deð seðe leas writ	He does great evil who writes false
buton he hit gerihte	unless he corrects it
he hit gerihte	he corrects it
swylce he gebringe þa soðan lare to leasum gedwylde	it is as though he turn true doctrine to false error
forþi sceal gehwa gerihtlæcan þæt þæt he ær to woge gebigde	therefore should everyone make that straight which he before bent crooked
An angin is ealra þinga	There is one origin of all things
þæt is God Ælmihtig	that is God Almighty
He is ordfruma and ende	He is beginning and end
He is ordfruma	He is beginning
He is ende	He is end
forði þe he wæs æfre	because he was ever
he is ende butan ælcere geendunge	he is end without any ending
forðan þe he bið æfre ungeendod	because he is ever unended
He is ealra cyninga Cyning	He is King of all kings
He is ealra hlaforda Hlaford	He is Lord of all lords
He hylt heofonas	He holds heavens
He hylt heofonas and eorðan	He holds earth
He hylt heofonas and eorðan	he holds heaven and earth
He hylt mid his mihte heofonas and eorðan	he holds with his might heaven and earth
mid his mihte	with his might
He hylt ealle gesceafta	He holds all creatures
He hylt gesceafta	He holds creatures
He hylt ealle gesceafta butan geswince	He holds all creatures, without toil
he besceawað þa niwelnyssa þe under þyssere eorðan sind	he beholds the depths which are under this earth
He awecð ealle duna mid anre handa	He weigheth all hills with one hand
ne mæg nan þing his willan wiðstandan	nothing may withstand his will
Ne mæg nan gesceaft fulfremedlice smeagan ne understandan ymbe god	No creature may perfectly search out nor understand concerning God
Maran cyððe habbað englas to Gode þonne men	greater affinity have angels to God than men
and þeah-hweðere	and yet
hí ne magon fulfremedlice understandan ymbe God	they may not perfectly understand concerning God
Hé gesceop gesceafta þaða he wolde	He created those creatures that he would
þurh his wisdom he geworhte ealle þing	through his wisdom he wrought all things
þurh his willan hé hí ealle geliffæste	through his will he endued them all with life
Ðeos þrynnys is án God	This Trinity is one God
þæt is se Fæder	that is, the Father
and his wisdom	and his wisdom
of him sylfum	of himself
æfre acenned	ever produced
and heora begra willa	and the Will of them both
þæt is se Halga Gast	that is, the Holy Ghost
he nis na acenned	he is not born
he gæð of þam Fæder and of þam Suna gelice	he goeth alike from the Father and from the Son
Ðas þry hadas sindon án Ælmihtig God	These three persons are one Almighty God
se geworhte heofenas	who wrought heavens
and eorðan	and earth
ealle gesceafta	all creatures
He gesceop tyn engla werod	He created ten hosts of angels
þæt sind englas and heah-englas	that is angels and archangels
Her sindon nigon engla werod	Here are nine hosts of angels
hí nabbað nænne lichaman	they have no body
hí sindon ealle gastas	they are all spirits
swiðe strange	very strong
mihtige	mighty
wlitige	beautiful
on micelre fægernysse gesceapene	formed with great fairness
to lofe and to wurðmynte heora Scyppende	to the praise and glory of their Creator
Ðæt teoðe werod abreað and awende on yfel	The tenth host rebelled and turned to evil
God hí gesceop ealle góde	God created them all good
and let hí habban agenne cyre	and let them have their own discretion
swa hí heora Scyppend lufedon and filigdon	whether they would love and follow their Creator
swa hí hine forleton	or would forsake him
Ða wæs þæs teoðan werodes ealdor swiðe fæger and wlitig gesceapen	Now the prince of the tenth host was formed very fair and beauteous
hé wæs geháten Leohtberend	he was called Lucifer
Þa began he to modigenne for þære fægernysse þe he hæfde	Then he began to wax proud by reason of the fairness that he had
and cwæð on his heortan	and said in his heart
hé wolde and eaðe mihte beon his Scyppende gelic	he would and easily might be his Creator's equal
and sittan on þam norð-dæle heofenan rices	and sit in the north part of heaven's kingdom
swa þæt	so that
habban andweald and rice ongean God Ælmihtigne	have power and sway against God Almighty
Þa gefæstnode he þisne ræd	Then he confirmed this resolve
wið þæt werod þe hé bewiste	with the host over which he ruled
hí ealle to ðam ræde gebugon	they all bowed to that resolve
Ðaða hí ealle hæfdon þysne ræd betwux him gefæstnod	When they all had confirmed this resolve among themselves
þa becom Godes grama ofer hí ealle	God's anger came over them all
hí ealle wurdon awende of þam fægeran híwe, þe hí on gesceapene wæron	they were all changed from the fair form in which they were created
to laðlicum deoflum	to loathsome devils
swiðe rihtlice him swa getimode	very rightly it so befell him
þaða he wolde mid modignysse beon betera þonne he gesceapen wæs	when he would in pride be better than he was created
and cwæð, þæt he mihte beon þam Ælmihtigum Gode gelíc	and said that he might be equal to Almighty God
swa swa we ǽr cwædon	 as we before said
Þa wearð he and ealle his geferan forcuþran and wyrsan þonne ænig oðer gesceaft	Then became he and all his associates more wicked and worse than any other creatures
and þa hwile þe he smeade hu he mihte dælan rice wið God	and while he meditated how he might share power with God
gearcode se Ælmihtiga Scyppend him and his geferum helle wíte	the Almighty Creator prepared hell torment for him and his associates
and hí ealle adræfde of heofenan rices myrhðe	and drove them all from the joy of heaven's kingdom
and let befeallan on þæt ece fyr	and caused them to fall into the eternal fire
þe him gegearcod wæs for heora ofermettum	that was prepared for them for their pride
Þa sona þa nigon werod, þe ðær to lafe wæron, bugon to heora Scyppende mid ealre eaðmodnesse	Then soon the nine hosts that were left bowed to their Creator with all humbleness
and betæhton heora rǽd to his willan	and resigned their purpose to his will
Þa getrymde se Ælmihtiga God þa nigon engla werod, and gestaþelfæste	Then the Almighty God confirmed and established the nine hosts of angels
swa þæt hí næfre ne mihton ne noldon syððan fram his willan gebugan	so that they never might or would afterwards swerve from his will
ne hí ne magon nu, ne hí nellað nane synne gewyrcan	nor can they now perpetrate any sin
hi æfre beoð ymbe þæt án, hu hi magon Gode gehyrsumian, and him gecweman	they are ever meditating only how they may obey God and be acceptable to him
Swa mihton eac þa oðre þe ðær feollon dón, gif hi woldon	So might also the others who fell have done if they had been willing
forþi ðe God hí geworhte to wlitegum engla gecynde	eeing that God had made them of the beauteous nature of angels
and let hí habban agenne cyre	and let them have their own will
and hí næfre ne gebigde ne ne nydde mid nanum þingum to þam yfelan ræde	and would never have inclined nor forced them in any way to that evil counsel
ne næfre se yfela rǽd ne com of Godes geþance, ac com of þæs deofles	for the evil counsel never came from God's conception, but came from the devil's
Nu þencð menig man and smeað hwanon deofol come	Now many a man will think and inquire, whence the devil came?
God gesceop to mæran engle þone þe nu is deofol	God created as a great angel him who is now the devil
God ne gesceop hine na to deofle	God did not create him as the devil
þaða he wæs mid ealle fordón and forscyldgod þurh þa miclan upahefednysse and wiðerweardnysse	when he was wholly fordone and guilty towards God through his great haughtiness and enmity
þa wearð he to deofle awend	then he became changed to the devil
seðe ǽr wæs mære engel geworht	who before was created a great angel
Ða wolde God gefyllan and geinnian þone lyre þe forloren wæs of þam heofenlicum werode	Then would God supply and make good the loss that had been suffered in the heavenly host
God cwæð þæt hé wolde wyrcan mannan of eorðan	God said that he would make man of earth
se eorðlica man sceolde geþeon	the earthly man should prosper
geearnian mid eadmodnysse	merit with meekness
þa wununga on heofenan rice	those dwellings in the kingdom of heaven
þe se deofol forwyrhte mid modignysse	which the devil through his pride had forfeited
And God þa geworhte ænne mannan of láme	And God then wrought a man of clay
